3 	 200 	 1000 
41	87	113	7.138353922393442
40	182	190	4.475411945270235
47	138	185	-2.9670152538184125
105	133	147	7.658288271855319
96	101	141	9.023887890192686
72	131	145	0.11430976433660334
159	172	198	-3.678076370418042
138	182	194	9.262744884421231
35	45	67	7.12983493648278
29	72	182	-7.480062490085344
56	112	129	8.261851643134136
18	96	153	-2.5176386722766146
96	155	172	9.198891998198782
33	72	171	7.9352498605106305
70	100	126	1.167682973140682
2	50	98	7.797644420696187
7	106	178	-4.046795351582013
32	91	159	6.0900849295237265
52	78	91	-8.640807697626656
19	44	182	-7.360415345362037
24	125	160	5.080812037515628
19	84	117	3.834826740795215
105	153	190	1.1629421132078512
81	114	140	-4.1756667632726625
52	96	100	6.3030342035036355
57	66	153	-4.416720526423774
25	98	179	-0.2255358438902828
63	90	180	-7.935947695836161
67	78	195	-5.470900759813809
103	146	176	-0.46456131602371187
26	158	193	-5.665064713083829
3	108	150	-1.9859544083176814
13	78	129	3.9772589556445315
38	42	120	-7.9832665836748244
133	169	200	-6.199684898876479
96	120	171	4.674023395406341
65	86	129	-8.393962932232144
79	119	193	-1.56353533368401
53	111	178	-0.37960521006493764
5	116	164	9.721478945589094
1	13	138	3.576809337914437
55	150	197	2.498196995263287
114	167	199	5.701044728932336
73	94	157	-9.30525486867548
13	149	155	-7.857474684633148
95	97	190	5.033122065208129
69	115	175	-4.204856992146688
72	113	153	9.667417105789546
40	41	59	2.430029464641912
29	47	117	7.443841381237252
43	92	175	7.3988693011135105
15	57	94	-4.906300840908829
22	120	190	-1.9105787295476357
5	60	102	9.800418531554165
35	124	161	0.6336772219200313
69	78	134	-1.106133806826218
54	76	128	2.0489128708581728
16	80	112	-2.2072817446711523
41	127	171	1.8541127578312384
41	64	114	-0.9961148109676348
106	179	190	7.62246762326043
11	35	107	-5.78050329430261
63	146	180	-4.553058285936629
66	188	192	-2.256621067011886
65	71	94	-5.415157016669346
95	120	148	-8.5809024534029
36	39	43	-0.0824873514814577
61	127	156	0.5270485064107255
85	104	131	3.741562078958097
9	36	79	-3.661585066697093
1	94	111	-8.044918926869116
36	61	100	4.550471677998155
31	85	172	-5.366167537986133
29	71	82	3.7386418447856435
118	152	168	-8.602258825689319
61	161	196	3.2880025956661836
57	67	169	-2.419707044949188
72	74	157	-8.250389841992192
94	100	158	-2.8188678245113348
112	151	172	5.51151606638123
25	134	168	8.411934484669803
74	108	114	4.332496571846294
14	69	73	7.670579387471946
83	117	126	-0.2951224438888804
59	126	200	-1.080797694825966
9	49	137	4.742017902485607
71	139	167	-9.115886061845629
22	99	179	-7.112364544423246
64	133	177	4.8992072271161025
31	42	51	5.608165641829048
24	71	74	-3.504165146058231
11	27	114	6.474760203383681
6	126	145	0.6173483185056625
35	47	117	3.5881572356193185
69	98	136	9.649428464372953
48	68	120	4.627362537197907
34	44	124	7.474120892019862
21	73	176	8.854194459365942
11	15	28	4.91927975486885
15	60	177	8.998941945718183
8	55	94	-5.8041964189576545
11	135	196	-5.108136915296512
31	39	112	3.799608156119408
91	118	163	9.544920735911575
102	160	192	1.9425736628996368
75	105	184	9.534193585783981
8	36	85	2.762533994310063
83	91	165	1.6737915421589538
74	108	192	7.54581846012174
21	67	191	1.5638244759092164
56	94	166	-8.200900500776376
137	147	159	-1.4932414574061923
61	67	162	2.9154859453765383
20	54	190	7.618730418264541
81	177	187	-6.870437633571553
22	30	115	-5.810600319631936
147	187	199	7.000800515890912
96	112	121	-8.444108322499947
72	128	150	7.140916620464623
21	131	156	9.896691328966352
81	87	173	-2.746810729304425
29	74	163	-1.6033623430574284
47	56	148	-7.559839365878367
65	115	137	6.94078776894677
39	126	141	6.9146201229655055
15	21	42	1.038369780677078
26	94	102	3.0423446453433485
4	153	177	-1.9984424954023527
8	85	89	-8.193257516991165
64	134	200	-1.8731833416125632
86	88	112	-2.187418963473446
71	109	182	6.272542975287113
13	41	44	9.358271588339498
70	141	151	6.45186545888118
2	26	153	-3.2290937433045848
114	137	182	-7.034141412735899
68	110	131	0.1646629161444686
83	102	156	-9.368426705588016
36	142	189	8.331653781417454
76	158	183	-2.038582950021361
45	90	149	-1.3979305227130112
17	59	106	-8.555454894870529
26	34	190	7.58368512072218
16	37	87	-4.940760287299439
88	128	129	9.013845144623385
50	121	185	6.601194436857604
60	93	179	8.122354260494383
67	68	98	-2.6295714132755554
35	73	108	8.120176319133314
71	82	136	9.355322891567784
32	84	192	9.909366808521177
48	53	140	-0.5692074426102174
72	124	150	-5.310055161112817
107	124	126	-5.693811308478562
34	61	130	-8.961305837650873
31	169	197	6.418983329869757
58	67	160	4.111761248908765
78	113	122	7.7686606740894355
28	82	175	-6.953086090510516
50	85	143	-7.705459792550173
127	162	171	-9.73020348480886
30	33	141	3.4374914652649142
25	74	154	-1.0300739354438058
33	142	178	-6.258353458646679
52	175	182	3.8345808826137073
44	58	77	3.3477457808822706
69	82	83	6.600850095523452
16	118	194	-8.46459295985337
77	92	185	-8.006914352531602
76	126	165	-5.002151460603086
97	164	189	-2.989870183930579
32	121	171	7.378451502868543
48	123	132	-6.585813118845724
38	55	94	-3.9867693095996115
184	193	197	-9.556891834937248
91	112	156	-8.699083712847244
14	18	166	-1.200130231523877
115	143	168	-5.511913515080986
103	132	177	8.04020376859657
53	85	90	4.8020938387155265
25	84	117	-5.319075598075187
49	62	87	8.65601654302262
100	173	195	1.8968003029800524
94	107	152	7.307315362295476
85	95	181	-4.838144063919405
46	157	176	-5.7126093626811825
64	67	180	-1.696398767241316
105	114	152	1.4122948752517281
56	70	113	5.739961048477387
112	127	134	1.7373638588611087
22	29	58	7.538599873887712
44	47	90	3.508469183070309
75	78	117	0.5813930749817402
3	71	182	8.594926003125025
42	62	131	-7.617729138775166
40	72	120	8.174710722965447
63	85	126	-4.7781235596079386
13	17	128	2.0574685013229583
5	186	197	-7.680754762153416
30	125	166	-3.408492010742057
42	146	170	8.178679342411836
