3 	 200 	 350 
23	81	96	4.143106740435211
6	37	142	-6.778206724105318
4	65	123	-6.395568138701398
34	91	176	-2.8107072519716825
98	185	197	5.273722935832577
122	175	198	-7.721825390485291
12	98	109	-3.6403353344288263
40	135	143	9.045875211698384
51	151	161	-8.510597755358544
6	138	139	7.397090547839753
83	125	129	3.596440132136536
48	110	181	8.44669323598428
103	134	148	-1.8926483194677441
17	181	200	-8.197861569851352
34	188	189	-9.076950142044243
93	108	181	7.15489467780683
68	131	139	6.65560084610517
36	44	63	-7.610594262744861
31	70	93	2.2356489352514473
1	21	105	-9.393002226129099
63	72	79	-0.29599009086392236
76	108	140	-1.3193694953021904
108	111	145	7.235745339016301
109	111	138	5.470782833482099
31	87	184	1.8823955523872353
48	148	154	-7.171878382401928
82	147	161	-2.8803432107325015
9	111	143	-1.4860053855059956
99	129	173	5.004187187482557
37	142	154	-3.637640355157261
19	72	192	4.998868390131106
37	166	179	-0.660388018987355
17	26	128	-1.3067630095797238
106	171	196	8.314605034462435
4	198	200	5.612133688066232
106	161	167	-7.713013732023248
119	135	146	8.477536572181254
85	89	167	4.821057373051369
17	180	185	-1.0528219165840635
29	134	169	-1.775212976970046
18	24	96	-9.935917953219844
1	41	100	0.8858076246064961
63	115	124	-5.4612243096677515
65	114	192	1.9469264403669868
115	143	183	3.7433442736652935
94	121	132	-4.627623937811194
13	43	187	-4.79334148913626
6	133	169	0.5060815111484462
28	131	181	9.193155644369526
27	112	176	-5.792693752955023
53	121	134	-3.052147037425166
23	114	151	-5.4511911257521595
25	130	131	4.7971114690374534
16	32	105	4.86099101402713
6	62	141	2.1457368411363476
96	108	111	-8.881261903523203
38	65	184	3.634763860200394
16	58	74	-9.334978612092375
54	95	103	-8.211213907867045
16	122	186	9.203448022092921
83	171	172	3.254135225119679
14	60	152	-4.920409738947191
60	116	121	-4.537378675036036
23	41	161	3.7933369173981095
55	127	173	1.0520942323589964
127	128	161	-7.3887568913627355
18	48	178	7.686771358763597
118	133	149	0.9644340115547081
44	106	160	3.342500696905333
97	184	187	-2.3572649394006495
37	112	181	-5.540363631139926
133	186	190	-3.9636764005515834
14	85	144	7.706988071657243
10	26	58	2.450176930083174
30	75	200	0.2630906291564923
111	156	161	1.1149532584385042
20	141	161	7.6195953627603785
151	176	190	2.067738235352074
21	59	137	5.895640145111118
65	106	194	6.173309562702752
45	47	158	-6.3956635599148015
