3 	 200 	 250 
75	107	137	-4.767523458869891
8	77	149	-8.662900724355772
11	160	178	2.1961043059035354
87	102	148	3.6030674371776747
19	85	154	3.919908904067391
31	35	53	-8.326796456501572
35	78	135	9.840182005099056
37	186	196	-3.716165800601483
27	98	193	3.404586842624674
1	102	196	-3.5949776452919107
46	101	102	7.43635609557737
106	117	200	-0.9251417974318148
11	77	165	6.753880912446974
11	88	92	-1.9276795297731564
2	89	119	-1.581169959029598
86	97	184	-9.573477196434595
23	39	99	1.4153646599481284
52	124	191	-6.511436362050958
99	116	119	-3.7141535805305352
72	120	127	-2.462293174829897
47	62	67	-6.915296559801809
64	126	170	5.551452533875715
66	133	191	-9.793134871814932
82	111	173	8.903651504346449
35	76	114	4.150247702305553
24	37	55	-6.134542329103367
17	38	108	8.446165193142285
68	155	196	6.938309861942244
113	152	179	0.688653867684943
10	27	87	-1.261201691403306
35	40	131	5.594844636907673
13	21	149	-5.930935625104798
43	85	130	6.962860341207666
23	77	87	-7.846546449335925
10	122	160	-5.070631879023644
15	167	188	-9.343947480024822
71	118	124	2.2388567614217276
48	84	171	-8.84771280080866
21	50	115	-8.065440457072704
61	110	146	7.889453978106758
61	130	152	-9.227043241527774
11	118	131	-2.2625179170056935
5	149	167	-2.5319020440638385
107	134	150	-2.189588885383773
42	84	149	-3.4633295086120857
51	180	184	-2.257090109897863
66	118	165	0.34773645106233175
16	75	101	8.389880453563208
21	106	144	3.277287289572966
29	136	171	-9.6459460884867
20	28	45	5.332790826558917
22	72	83	0.6809099870758395
26	41	77	7.464750184079648
66	113	133	-5.454986501736898
90	141	175	6.799762667325005
81	131	166	5.232908502830496
43	112	187	-1.9707848636182401
18	19	163	-3.2770731137294185
88	151	199	-9.344759878729477
71	73	92	1.2266674580148678
9	23	184	-9.568323116396016
64	197	198	8.199079746610735
22	48	102	-5.139952569737522
138	152	192	-0.9543352274323951
117	145	187	-5.146764710994827
180	181	189	8.63751066974817
22	81	124	2.4975797195157448
6	12	81	-5.654498933894827
44	111	132	-5.495145058634812
21	55	77	0.8575419353535647
132	157	195	-6.2533465145164495
27	138	166	0.8364408918448554
126	151	198	8.622156512454758
16	22	39	-8.675877943759609
73	86	126	7.40243307802276
65	141	200	-6.887809376390366
88	177	194	1.927386487445066
67	75	187	-3.5204636176184856
9	53	116	-1.6735238711254894
97	133	141	-8.989119058255854
7	97	187	6.602831508531509
26	91	95	0.4727566157072225
11	16	89	7.266237395468028
3	83	121	-5.421904063355186
6	179	188	0.526171614558745
66	126	187	-0.057245213641671455
48	130	178	6.032180338634646
42	85	157	-3.751784675436247
83	84	145	9.972549382524114
29	111	135	-6.9854859941037155
90	107	179	-4.797206628048154
130	148	200	-4.816947480845903
37	38	153	4.125744510331046
26	120	153	-5.926494257564534
37	95	151	0.7353217459121915
55	58	166	7.406095574266999
20	48	59	4.355401562862989
63	187	198	5.932559903023083
51	121	182	-9.435719717315159
28	32	57	5.641608277573573
118	125	143	9.587871874636946
27	148	191	6.214619010547679
37	155	169	-4.362863842443607
107	143	159	0.9964514172584167
71	142	175	-3.157850894841607
99	190	199	1.8268048457655262
120	136	198	2.4435987067597242
35	77	190	-3.957731947807499
32	81	153	2.610856242645223
41	116	162	-1.9023919296870506
15	73	82	-9.13276197297552
71	88	91	6.231219037472751
69	116	164	-8.984602559024577
83	85	164	-5.553115462599045
28	53	90	1.7284625762824675
82	115	118	8.394646839727137
32	115	171	-0.5462292568318716
41	49	162	-2.677572979125877
93	120	170	2.4767180074298025
46	63	190	1.949976342864277
48	53	108	5.007636469728782
10	38	144	-3.7927515828352076
88	113	152	-2.824960464234392
64	101	178	8.527744227100872
38	52	63	-4.159537567171334
105	166	200	-0.8894617930515114
10	35	196	-6.885796540649041
65	100	113	4.870538110453417
12	143	156	-5.189235338618518
96	158	169	9.233783654780822
15	99	116	-0.5845546196716747
49	106	192	-6.730672991376809
54	148	158	-2.4243385626263203
12	57	153	9.294486448777821
62	78	141	-1.9069931621978498
31	128	137	3.749576141046136
87	155	161	-5.264308980497134
104	159	164	7.264109479417481
33	96	189	-3.245204727750144
69	141	175	-9.135587080009994
83	116	164	-7.086044087863284
91	115	176	-2.5602830457815795
44	53	59	2.0470961583412226
3	164	192	-8.263873300920878
15	176	188	-4.047773388067881
18	30	56	-3.2108295127799096
4	79	178	1.3000774009423477
50	89	135	-5.2651259457242645
26	175	192	-3.3729461599093247
55	80	161	-9.729452028050659
75	149	186	5.637433247140439
39	45	69	-6.255839481969203
111	158	171	2.6132049195235414
60	141	164	-0.2590237185025721
27	68	200	-9.314865028717325
50	66	68	-9.523659471806136
18	166	168	-6.497392212946562
16	72	179	-2.356007895674594
26	98	115	-0.7951713716838178
128	143	198	-1.3049050776804911
67	179	183	8.654489393606127
91	141	150	-7.893708212097035
116	118	190	8.06700294740401
55	114	164	1.9641816143763968
50	96	110	2.3267918411153694
87	161	174	6.029683654254548
75	100	112	-1.8820217958740297
68	106	184	9.102369245903063
21	40	95	-6.438087193983197
30	100	173	-3.822884186281774
99	128	134	-0.5628352011565205
25	48	152	2.8661185499702295
46	98	126	0.536885283244743
44	136	164	-5.360285591700635
26	97	156	2.3088979571726185
21	79	100	0.4105421354816574
50	85	99	4.602216543121537
43	94	106	6.016984843808608
30	131	170	0.7124489872450628
7	22	160	5.6822602658110295
102	170	191	7.679322207640055
142	150	172	-5.1489722297667795
108	124	131	5.56782394520004
104	162	163	9.520347587938495
42	69	164	-6.0670202686095465
98	112	159	-6.188648723037565
31	44	131	5.257755739018412
3	21	179	-8.055334070850915
47	173	187	3.623354028848862
105	119	130	5.3576056802270955
51	131	137	-2.2692197116478896
27	64	142	2.853803334425134
52	62	160	-9.291269803997743
36	126	132	4.820486197281738
12	105	145	-8.686353798584642
64	159	200	2.7699763376608466
57	94	134	2.1165127116493654
51	61	97	0.8295183191235278
22	118	188	-3.8398956195376304
140	150	162	8.896423101154301
37	123	128	-5.757491900982319
40	94	144	4.178722475830732
17	143	147	7.366728509918957
25	38	180	8.91595923077989
122	140	184	9.899323584248464
1	26	153	-2.7916142276308946
73	166	180	-8.986656855755902
7	50	91	-1.0007063841940962
22	30	94	5.300227636441978
29	134	179	2.7637177214021555
6	19	30	4.155598176404734
32	46	185	2.5982455958072155
16	105	197	-1.584671342025656
94	98	189	5.360396265233305
169	176	189	-9.174661817500416
22	33	51	3.7859321905582775
46	160	198	5.204085935915225
28	39	120	-1.8743651172040803
17	122	152	-3.998966431412043
6	40	54	-7.6600448499656615
35	47	169	2.5655308653934803
69	93	128	4.178660427905944
10	32	162	-9.132611011748551
12	125	139	-3.054109952925483
148	155	167	2.0859824366148274
28	89	121	-8.53269431794745
16	120	135	-9.558261974080832
3	60	199	1.343078926085985
72	92	165	-0.41165949074112085
8	86	159	2.2891386658747077
16	45	107	0.7701870081226296
50	154	164	-5.457610328162897
27	147	200	-6.530597380755991
99	145	153	-3.9355500694431544
2	28	189	9.256539221539178
