4 	 200 	 300 
63	85	126	159	-1.5069252503409842
51	60	87	145	-4.448419867940576
9	138	171	186	7.419119454362438
134	137	149	182	-1.6384212742839281
87	95	148	159	0.40026835760427204
9	45	98	168	4.465172389250846
3	97	118	170	-2.5662834746413044
16	69	185	194	6.801190085844876
15	26	30	49	2.5694761928039895
16	65	69	196	-4.257150742277838
2	105	117	141	9.431014687866572
105	113	145	181	5.766902287991858
61	90	136	190	0.3368446514583123
109	123	132	159	-6.710350380621906
22	55	125	142	-3.4347139739722117
4	91	138	170	1.4462110666490773
16	43	71	103	3.784583147657532
95	115	118	197	7.727971007473894
45	64	99	107	0.7115521218440062
9	65	124	140	9.7223935170801
82	142	168	187	8.78057691258832
120	168	179	186	-8.607595927973614
60	139	154	196	2.6127042245955305
5	7	88	111	-7.707732895819765
40	132	171	191	-4.742915253993239
7	34	38	143	-8.854177478095561
9	26	82	166	9.056323703983928
46	93	124	140	2.6784504534349107
4	25	39	123	0.012067921367842516
16	28	163	171	3.429384132245648
38	133	183	186	-3.1875913817782875
104	130	146	162	6.239942315571692
31	157	175	195	1.171044856885775
21	75	80	101	9.311320946327676
40	112	122	170	-7.92257596181448
11	54	143	192	1.4961895541558334
50	76	97	130	-5.160340000108317
25	30	107	163	-2.5505032571584234
16	47	175	178	5.787140541604181
89	128	158	171	2.349978505056363
12	39	74	90	-2.40338159151837
3	18	27	160	-9.900045390043626
68	91	144	164	-0.909853361423405
3	10	52	175	6.254187935192565
13	77	87	165	-6.122427694926542
8	56	145	158	8.280768245707925
89	96	110	153	2.001699098784739
10	17	58	132	-9.907445228745669
60	113	162	198	3.52228397650687
57	58	126	174	-2.492785964545064
11	37	59	190	0.822587056379497
89	98	111	125	-9.477365141484368
51	66	81	119	-6.271382278959427
22	60	107	116	-4.101370746515636
40	114	120	163	-7.082816726874903
28	33	89	130	2.6725195614908532
7	97	118	149	-9.170476182328535
1	106	120	178	-8.604689311189004
11	16	20	153	2.0675363787228047
69	74	82	175	1.9620922809942485
92	126	191	192	1.4377124585975771
55	122	137	167	5.879298840618585
54	92	146	176	-5.164015174724392
21	22	104	110	-8.019112845624495
23	49	107	198	9.037538854195432
37	115	175	187	8.93063377151735
69	81	116	180	7.4520065546299
8	39	106	124	3.2334565728092723
38	98	104	192	-4.836296824259765
27	88	124	180	-6.990846854283966
36	106	139	156	0.5980390349213884
80	86	87	90	-1.0218312507989697
21	123	133	186	-5.007627094810241
42	94	102	156	-7.480027543827637
75	103	147	180	-8.540146533637866
17	64	76	161	-3.939989004296778
52	106	160	167	7.948061077043775
9	110	117	122	2.550999555062072
86	162	172	179	-9.591975329861018
1	146	171	199	7.514110226117623
7	68	69	140	-7.212513324300069
17	47	102	199	-4.365058221833536
43	92	133	135	9.757898274789358
74	89	123	157	-4.042776601047608
40	186	188	200	5.041654074355526
35	103	164	168	-5.505459391980696
9	21	111	155	2.9867533308023653
86	96	146	156	8.46978191676656
54	89	98	163	8.817637060185099
19	41	57	89	2.3766312278082573
19	62	120	195	4.8065894342091795
42	72	130	163	-7.6106731142002415
17	133	190	200	5.700130372167859
12	39	86	104	-0.17363107892822427
22	122	149	181	-7.515007043989083
9	126	134	184	0.24002818147522476
7	26	49	150	-5.007871530781143
9	22	36	194	6.863271535157185
62	110	113	125	7.80395259716731
62	90	174	187	-8.020432967706661
3	57	116	185	1.7998043013244764
89	90	158	165	-3.022323438940031
75	143	162	178	6.9744390106378304
20	72	108	116	2.7759185057082707
71	111	153	166	2.9921587710014634
54	62	185	191	-7.489239264712301
49	111	174	177	-5.862136317554468
105	127	156	179	-1.130932679830556
33	102	103	175	2.6858161418805437
18	22	138	182	8.857498866942834
85	102	182	186	-3.8525020403297
19	33	87	131	-6.082032720837152
57	118	161	190	4.767197878159008
23	136	152	194	6.467029836331484
6	18	84	163	-4.89477201846549
57	120	146	175	-5.082608181189892
96	115	123	132	8.35433789222791
66	107	137	152	9.27933040658165
39	89	92	140	-4.317628238940989
111	130	176	199	-9.037398682698361
24	28	188	196	-7.687711237861672
1	122	156	179	7.062023731229232
39	77	97	174	-4.2779770947303275
23	88	110	120	4.089917080388965
30	72	79	158	6.647589820862979
26	31	63	164	-3.170249073511185
80	81	174	178	-9.443841612045546
25	166	180	190	9.025317736374934
12	129	133	149	0.9045649513558907
2	17	171	176	3.310681186352234
20	71	151	162	-6.477310938835763
22	24	127	178	-2.4062273541596486
13	60	63	80	-0.36257020496260495
7	37	100	180	-3.1890050464010784
65	83	113	131	6.368566009500039
2	11	72	115	-5.501803975287041
4	50	58	120	-6.680368195904061
